iter	Passed	Remaining
0	212	212119
1	243	121335
2	260	86629
3	276	68899
4	295	58850
5	317	52556
6	335	47654
7	354	43971
8	373	41145
9	396	39282
10	423	38053
11	441	36311
12	464	35284
13	492	34688
14	515	33840
15	532	32750
16	550	31819
17	566	30909
18	584	30199
19	600	29439
20	616	28746
21	634	28186
22	653	27777
23	674	27446
24	693	27045
25	709	26592
26	727	26216
27	742	25782
28	758	25397
29	773	24999
30	789	24689
31	805	24369
32	824	24163
33	839	23855
34	859	23700
35	882	23640
36	906	23603
37	928	23493
38	951	23444
39	969	23263
40	986	23079
41	1004	22921
42	1023	22781
43	1040	22604
44	1066	22628
45	1089	22602
46	1114	22599
47	1138	22577
48	1163	22581
49	1184	22504
50	1207	22469
51	1228	22398
52	1250	22347
53	1269	22247
54	1290	22168
55	1313	22136
56	1332	22044
57	1349	21920
58	1367	21809
59	1384	21687
60	1406	21643
61	1425	21571
62	1446	21508
63	1463	21398
64	1479	21281
65	1497	21190
66	1522	21197
67	1542	21141
68	1560	21058
69	1580	20993
70	1596	20893
71	1620	20892
72	1643	20873
73	1663	20810
74	1679	20708
75	1699	20665
76	1750	20980
77	1788	21146
78	1819	21212
79	1837	21126
80	1854	21039
81	1871	20951
82	1887	20850
83	1902	20746
84	1916	20635
85	1931	20532
86	1947	20441
87	1965	20369
88	1981	20283
89	1998	20210
90	2015	20132
91	2033	20073
92	2050	19998
93	2066	19921
94	2083	19845
95	2098	19765
96	2114	19680
97	2128	19591
98	2144	19514
99	2161	19454
100	2178	19387
101	2194	19319
102	2211	19258
103	2227	19194
104	2247	19155
105	2263	19090
106	2279	19023
107	2296	18963
108	2311	18898
109	2326	18827
110	2342	18760
111	2357	18694
112	2374	18641
113	2390	18581
114	2406	18519
115	2421	18453
116	2438	18399
117	2455	18350
118	2479	18358
119	2498	18321
120	2514	18269
121	2533	18233
122	2549	18181
123	2566	18128
124	2584	18091
125	2600	18038
126	2615	17980
127	2633	17939
128	2649	17888
129	2665	17840
130	2687	17825
131	2704	17781
132	2719	17727
133	2735	17679
134	2751	17627
135	2766	17577
136	2785	17547
137	2802	17505
138	2827	17512
139	2847	17491
140	2873	17504
141	2897	17508
142	2920	17502
143	2944	17503
144	2962	17466
145	2978	17422
146	2994	17377
147	3012	17344
148	3029	17300
149	3044	17254
150	3060	17209
151	3079	17180
152	3095	17137
153	3112	17096
154	3127	17049
155	3143	17007
156	3158	16960
157	3175	16920
158	3190	16875
159	3206	16833
160	3224	16804
161	3239	16759
162	3255	16716
163	3271	16678
164	3295	16676
165	3333	16748
166	3349	16707
167	3365	16667
168	3400	16720
169	3433	16761
170	3452	16739
171	3473	16722
172	3495	16710
173	3518	16700
174	3595	16950
175	3622	16958
176	3640	16926
177	3655	16878
178	3670	16835
179	3685	16789
180	3702	16751
181	3719	16717
